match_day,match_date,home_team,away_team,home_team_score,away_team_score,HT_num_goals_firsthalf,HT_num_goals_secondhalf,AT_num_goals_firsthalf,AT_num_goals_secondhalf,match_link,home_posession,away_posession,home_shots,away_shots,home_shots_ontarget,away_shots_ontarget,home_fouls,away_fouls,home_corners,away_corners,home_saves,away_saves,home_offsides,away_offsides,home_yellow,away_yellow,home_red,away_red
Sat,Apr 13,Huesca,Barça,0,0,99,99,99,99,https://www.msn.com/en-us/sports/soccer/la-liga/huesca-v-barcelona/game-center/sp-id-80402000001009631,26,74,6,10,1,2,18,13,6,5,2,1,3,8,1,2,0,0
Sat,Apr 13,Espanyol,Alavés,2,1,1,0,0,2,https://www.msn.com/en-us/sports/soccer/la-liga/espanyol-v-alav%c3%a9s/game-center/sp-id-80402000001009630,56,44,6,13,2,3,12,17,4,8,2,1,4,2,3,2,0,0
Sun,Apr 7,Betis,Villarreal,2,1,1,1,1,0,https://www.msn.com/en-us/sports/soccer/la-liga/real-betis-v-villarreal/game-center/sp-id-80402000001009617,57,43,17,10,7,4,15,14,4,3,3,4,1,2,4,4,0,0
Sun,Apr 7,Celta,Real Sociedad,3,1,0,3,1,0,https://www.msn.com/en-us/sports/soccer/la-liga/celta-de-vigo-v-real-sociedad/game-center/sp-id-80402000001009618,49,51,11,14,4,7,16,11,2,7,6,1,1,1,2,1,0,1
Sun,Apr 7,Levante,Huesca,2,2,1,1,0,2,https://www.msn.com/en-us/sports/soccer/la-liga/levante-v-huesca/game-center/sp-id-80402000001009624,55,45,14,17,8,4,22,12,9,1,2,6,,,2,4,0,0
Sun,Apr 7,Valladolid,Sevilla FC,0,2,0,0,0,2,https://www.msn.com/en-us/sports/soccer/la-liga/real-valladolid-v-sevilla/game-center/sp-id-80402000001009625,39,61,10,15,5,4,17,12,6,7,2,5,6,2,3,3,0,0
Sun,Apr 7,Getafe,Athletic,1,0,0,1,0,0,https://www.msn.com/en-us/sports/soccer/la-liga/getafe-v-athletic-club/game-center/sp-id-80402000001009620,49,51,6,10,2,1,16,18,1,2,1,1,,,2,1,0,0
Sun,Apr 7,Alavés,Leganés,1,1,1,0,0,1,https://www.msn.com/en-us/sports/soccer/la-liga/alav%c3%a9s-v-legan%c3%a9s/game-center/sp-id-80402000001009616,45,55,6,9,1,5,17,15,3,3,,,2,2,6,3,0,0
Sat,Apr 6,Barça,Atlético,2,0,0,2,0,0,https://www.msn.com/en-us/sports/soccer/la-liga/barcelona-v-atl%c3%a9tico-de-madrid/game-center/sp-id-80402000001009621,64,36,21,9,10,2,14,12,5,1,2,8,,,3,4,0,1
Sat,Apr 6,Rayo,Valencia,2,0,1,1,0,0,https://www.msn.com/en-us/sports/soccer/la-liga/rayo-vallecano-v-valencia-cf/game-center/sp-id-80402000001009619,52,48,15,12,5,3,17,10,4,7,3,3,1,4,2,3,0,0
Sat,Apr 6,Real Madrid,Eibar,2,1,0,2,1,0,https://www.msn.com/en-us/sports/soccer/la-liga/real-madrid-v-eibar/game-center/sp-id-80402000001009622,56,44,13,3,7,1,9,15,5,4,,,6,3,0,1,0,0
Sat,Apr 6,Girona,Espanyol,1,2,0,2,0,1,https://www.msn.com/en-us/sports/soccer/la-liga/girona-v-espanyol/game-center/sp-id-80402000001009623,55,45,14,10,5,2,23,20,1,4,1,4,3,2,5,2,0,0
Thu,Apr 4,Real Sociedad,Betis,2,1,1,1,0,1,https://www.msn.com/en-us/sports/soccer/la-liga/real-sociedad-v-real-betis/game-center/sp-id-80402000001009613,36,64,15,11,7,6,12,13,3,6,5,5,1,2,2,3,0,0
Thu,Apr 4,Leganés,Valladolid,1,0,0,1,0,0,https://www.msn.com/en-us/sports/soccer/la-liga/legan%c3%a9s-v-real-valladolid/game-center/sp-id-80402000001009610,56,44,18,8,2,1,13,11,3,4,1,1,1,2,2,2,0,0
Thu,Apr 4,Sevilla FC,Alavés,2,0,1,1,0,0,https://www.msn.com/en-us/sports/soccer/la-liga/sevilla-v-alav%c3%a9s/game-center/sp-id-80402000001009611,64,36,18,4,5,1,13,19,11,1,1,3,3,2,3,4,0,0
